'1. Block','2. Trial','3. Stimulus','4. Offset','5. fliplr','6. Order','7. Ident Resp','8. Discrim Resp','9. Ident Correct','10. Discrim Correct','11. Ident RT','12. Discrim RT',13. Question Condition',14. Participant ID'
1,173,-4,4,1,1,1,1,1,1,0.221606646,0.485505219,2,S01
1,174,2,2,1,2,1,1,0,0,0.149614248,0.333004119,2,S01
1,175,-1,1,1,2,1,1,1,0,0.149307863,0.309321591,2,S01
1,176,-8,8,1,1,1,1,1,1,0.029221121,0.229234885,2,S01
1,177,-2,2,2,1,1,1,1,1,0.119541096,0.383463214,2,S01
1,178,0.5,0.5,1,2,1,1,0,0,0.136747272,0.305290888,2,S01
1,179,1,1,2,1,2,2,1,0,0.564434,0.748543801,2,S01
1,180,8,8,1,2,2,2,1,1,0.209275467,0.409180865,2,S01
1,181,2,2,2,1,1,1,0,1,0.586849632,0.723495066,2,S01
1,182,1,1,2,2,1,2,0,1,0.423126075,0.583165764,2,S01
1,183,0.25,0.25,2,1,2,2,1,0,0.176498276,0.424531826,2,S01
1,184,-4,4,1,2,1,1,1,0,0.254596948,0.382624352,2,S01
1,185,-8,8,1,2,1,1,1,0,0.151845578,0.360048735,2,S01
1,186,-0.5,0.5,1,1,2,2,0,0,0.480730136,0.720688094,2,S01
1,187,-8,8,1,1,1,1,1,1,0.493156098,0.676873183,2,S01
1,188,1,1,2,2,2,2,1,1,0.216045224,0.344060554,2,S01
1,189,2,2,2,2,1,1,0,0,0.156742008,0.373218776,2,S01
1,190,8,8,2,2,2,2,1,1,0.305908489,0.481827086,2,S01
1,191,-0.25,0.25,2,1,2,2,0,0,0.181012856,0.316995109,2,S01
1,192,-0.25,0.25,2,1,1,1,1,1,0.188886204,0.388832353,2,S01
2,1,-1,1,2,2,1,1,1,0,0.053239616,0.212772184,2,S01
2,2,-0.5,0.5,1,2,1,2,1,1,0.510670471,0.790629974,2,S01
2,3,-4,4,1,2,1,2,1,1,0.479963418,0.719850439,2,S01
2,4,0.25,0.25,1,2,1,1,0,0,0.151802714,0.343790089,2,S01
2,5,-2,2,1,1,1,1,1,1,0.244509778,0.476383691,2,S01
2,6,-1,1,1,1,1,1,1,1,0.263694026,0.423641648,2,S01
2,7,0.5,0.5,2,1,2,2,1,0,0.230050202,0.36573905,2,S01
2,8,-8,8,1,1,1,1,1,1,0.238539339,0.422500325,2,S01
2,9,2,2,2,1,2,2,1,0,0.045183645,0.188623588,2,S01
2,10,0.25,0.25,1,2,2,2,1,1,0.717898327,0.86212642,2,S01
2,11,-0.5,0.5,1,1,1,1,1,1,0.31683603,0.493022375,2,S01
2,12,-0.25,0.25,1,1,1,1,1,1,0.196417245,0.356391732,2,S01
2,13,4,4,1,1,2,1,1,1,0.421278708,0.621218518,2,S01
2,14,-2,2,2,2,1,1,1,0,0.419785419,0.555339638,2,S01
2,15,4,4,2,2,2,2,1,1,0.335938777,0.511801833,2,S01
2,16,-1,1,1,2,1,2,1,1,0.351820705,0.519720158,2,S01
2,17,-4,4,2,2,1,2,1,1,0.29582313,0.519776605,2,S01
2,18,-2,2,2,1,1,1,1,1,0.287735463,0.487601619,2,S01
2,19,8,8,1,2,2,2,1,1,0.399093695,0.535113378,2,S01
2,20,4,4,1,1,2,1,1,1,0.51142753,0.67146269,2,S01
2,21,-4,4,1,1,1,1,1,1,0.310491289,0.518401644,2,S01
2,22,1,1,1,1,2,2,1,0,0.29501717,0.422317399,2,S01
2,23,0.5,0.5,2,2,1,2,0,1,0.340341368,0.548559015,2,S01
2,24,-2,2,1,2,1,2,1,1,0.24921815,0.424928164,2,S01
2,25,-8,8,2,2,1,2,1,1,0.319546107,0.551086467,2,S01
2,26,-0.25,0.25,2,1,1,1,1,1,0.043696393,0.220444193,2,S01
2,27,-1,1,2,1,1,1,1,1,1.289872916,1.497737389,2,S01
2,28,-8,8,1,1,1,1,1,1,0.285360147,0.525400511,2,S01
2,29,-2,2,2,1,1,1,1,1,0.377467118,0.465538556,2,S01
2,30,1,1,2,1,1,1,0,1,0.256440694,0.424422553,2,S01
2,31,8,8,2,2,2,2,1,1,0.270532607,0.526598885,2,S01
2,32,4,4,1,2,2,2,1,1,0.394765964,0.546761453,2,S01
2,33,0.25,0.25,1,1,1,1,0,1,0.255324425,0.439349404,2,S01
2,34,4,4,2,1,2,1,1,1,0.237760849,0.445890051,2,S01
2,35,4,4,2,2,2,2,1,1,0.364436233,0.492357685,2,S01
2,36,8,8,1,1,2,2,1,0,0.291761336,1.515739563,2,S01
2,37,0.5,0.5,2,1,2,2,1,0,0.435652858,1.155685205,2,S01
2,38,8,8,2,1,2,1,1,1,0.344307171,0.672303061,2,S01
2,39,-0.25,0.25,1,2,1,1,1,0,0.279255382,0.407491067,2,S01
2,40,0.25,0.25,1,2,2,2,1,1,0.281078902,0.384958012,2,S01
2,41,-1,1,1,2,2,2,0,1,1.018337047,1.378368162,2,S01
2,42,-0.5,0.5,1,1,1,1,1,1,0.55934257,0.735371044,2,S01
2,43,4,4,1,1,2,1,1,1,0.351822214,0.615688187,2,S01
2,44,8,8,1,1,2,1,1,1,0.541740357,0.821699859,2,S01
2,45,-4,4,1,2,1,2,1,1,0.331813291,0.507840256,2,S01
2,46,1,1,1,1,2,2,1,0,0.231596014,0.36746809,2,S01
2,47,8,8,2,1,2,1,1,1,0.364586257,0.58067393,2,S01
2,48,-0.25,0.25,2,2,1,1,1,0,0.342007319,0.597968249,2,S01
2,49,0.5,0.5,2,2,2,2,1,1,0.387551571,0.563635889,2,S01
2,50,-2,2,2,2,2,2,0,1,0.172360414,0.484436342,2,S01
2,51,-0.5,0.5,2,1,2,2,0,0,0.335600395,0.591540799,2,S01
2,52,-0.5,0.5,1,2,1,2,1,1,0.525822206,0.829134005,2,S01
2,53,0.25,0.25,2,1,1,1,0,1,0.279392727,0.511397948,2,S01
2,54,-4,4,1,1,1,1,1,1,0.351273739,0.567397938,2,S01
2,55,-1,1,2,2,2,2,0,1,0.320247321,0.552233827,2,S01
2,56,0.25,0.25,2,1,1,2,0,0,0.292885453,0.444784649,2,S01
2,57,-0.5,0.5,2,1,1,2,1,0,0.211311798,0.379383007,2,S01
2,58,8,8,2,2,2,2,1,1,0.356733737,0.572636674,2,S01
2,59,4,4,2,2,2,2,1,1,0.321767174,0.537794174,2,S01
2,60,-0.25,0.25,2,1,2,2,0,0,0.298090381,0.458139729,2,S01
2,61,-0.25,0.25,1,1,1,1,1,1,0.252928884,0.412822473,2,S01
2,62,-8,8,1,2,1,1,1,0,0.350783523,0.590736952,2,S01
2,63,0.25,0.25,2,2,2,2,1,1,0.744087479,0.888078916,2,S01
2,64,-0.25,0.25,2,2,2,2,0,1,0.559467841,0.82336249,2,S01
2,65,-0.5,0.5,2,2,1,1,1,0,0.357478117,0.509392105,2,S01
2,66,-0.5,0.5,2,2,1,1,1,0,0.437373143,0.645336022,2,S01
2,67,-8,8,2,2,1,2,1,1,0.355832089,0.563910881,2,S01
2,68,0.5,0.5,1,1,2,2,1,0,0.349276047,0.596794326,2,S01
2,69,8,8,1,2,2,2,1,1,0.41026242,0.658582131,2,S01
2,70,-2,2,1,1,1,1,1,1,0.485125483,0.613097345,2,S01
2,71,4,4,2,1,2,1,1,1,0.318810178,0.45484254,2,S01
2,72,-8,8,2,2,1,2,1,1,0.481524927,0.833491619,2,S01
2,73,2,2,2,2,1,1,0,0,1.419856356,1.5637515,2,S01
2,74,2,2,2,2,1,1,0,0,0.516752899,0.692746659,2,S01
2,75,2,2,1,2,2,2,1,1,0.372018591,0.389007732,2,S01
2,76,-2,2,2,2,1,2,1,1,0.413475391,0.597464751,2,S01
2,77,0.5,0.5,1,2,1,2,0,1,0.234997646,0.394899687,2,S01
2,78,-2,2,2,1,1,1,1,1,0.288600888,0.400631658,2,S01
2,79,0.25,0.25,1,2,1,1,0,0,0.238539641,0.35875105,2,S01
2,80,4,4,2,2,2,2,1,1,0.366935311,0.551361761,2,S01
2,81,2,2,1,1,2,1,1,1,0.28370476,0.435572564,2,S01
2,82,0.25,0.25,1,1,1,2,0,0,0.285838591,0.4858596,2,S01
2,83,-0.5,0.5,2,2,1,2,1,1,0.317338623,0.445379309,2,S01
2,84,-8,8,2,1,1,1,1,1,0.30053935,0.484426683,2,S01
2,85,0.25,0.25,2,2,1,2,0,1,0.335145194,0.439114257,2,S01
2,86,-0.5,0.5,1,2,1,2,1,1,0.357475702,0.525544497,2,S01
2,87,0.25,0.25,1,1,1,2,0,0,0.345843022,0.601748712,2,S01
2,88,-0.25,0.25,2,2,2,2,0,1,0.327835414,0.519271597,2,S01
2,89,2,2,2,2,1,1,0,0,0.975175959,1.183146384,2,S01
2,90,-0.5,0.5,1,1,1,2,1,0,0.800461773,0.92044377,2,S01
2,91,4,4,1,2,2,2,1,1,0.412623549,0.6285612,2,S01
2,92,0.5,0.5,1,2,2,2,1,1,0.358910129,1.550904145,2,S01
2,93,-2,2,1,2,1,1,1,0,0.339487413,1.235458884,2,S01
2,94,1,1,1,2,1,2,0,1,0.317830047,0.469732866,2,S01
2,95,-1,1,2,1,1,1,1,1,0.39722731,0.572775227,2,S01
2,96,-8,8,2,1,1,1,1,1,0.377812744,0.649863582,2,S01
2,97,-8,8,1,2,1,2,1,1,0.292553108,0.604533347,2,S01
2,98,2,2,1,1,2,2,1,0,0.518616869,0.854344535,2,S01
2,99,-1,1,1,1,1,1,1,1,0.361205453,0.617310067,2,S01
2,100,-4,4,2,1,1,1,1,1,0.367180419,0.687153844,2,S01
2,101,8,8,2,2,2,2,1,1,0.462554696,0.774632435,2,S01
2,102,-4,4,1,2,1,2,1,1,1.123618888,1.45167364,2,S01
2,103,1,1,2,2,2,2,1,1,0.302328459,0.574357563,2,S01
2,104,0.25,0.25,2,1,1,2,0,0,0.411508488,0.723523742,2,S01
2,105,8,8,2,2,2,2,1,1,0.375605865,0.607788276,2,S01
2,106,-2,2,2,1,1,1,1,1,0.241439586,0.553397488,2,S01
2,107,1,1,2,1,1,2,0,0,0.342004603,0.582105037,2,S01
2,108,8,8,1,2,2,2,1,1,0.383409785,0.647445402,2,S01
2,109,-0.25,0.25,1,2,1,1,1,0,0.861886142,1.077882353,2,S01
2,110,-1,1,2,1,2,2,0,0,0.337547677,0.60895586,2,S01
2,111,-0.25,0.25,1,2,1,2,1,1,0.290868441,0.442750734,2,S01
